START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
03/11/2014,7:30 PM,7:30 PM,Washington at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,TSN2 / NBCSN /  ROOT,03/11/2014,03/11/2014,10:30 PM,10:30 PM,FALSE,TRUE,03/11/2014,6:30 PM,6:30 PM,FREE,BUSY
03/14/2014,7:00 PM,7:00 PM,Vancouver at Washington,Verizon Center - Washington - DC,RDS /  SNET-P /  CSN-DC+,03/14/2014,03/14/2014,10:00 PM,10:00 PM,FALSE,TRUE,03/14/2014,6:00 PM,6:00 PM,FREE,BUSY
03/16/2014,3:00 PM,3:00 PM,Toronto at Washington,Verizon Center - Washington - DC,SNET-O /  CSN-DC,03/16/2014,03/16/2014,6:00 PM,6:00 PM,FALSE,TRUE,03/16/2014,2:00 PM,2:00 PM,FREE,BUSY
03/18/2014,7:00 PM,10:00 PM,Washington at Anaheim,Honda Center - Anaheim - CA,CSN-DC /  PRIME,03/18/2014,03/19/2014,10:00 PM,1:00 AM,FALSE,TRUE,03/18/2014,6:00 PM,9:00 PM,FREE,BUSY
03/20/2014,7:30 PM,10:30 PM,Washington at Los Angeles,Staples Center - Los Angeles - CA,CSN-DC+ /  FS-W,03/20/2014,03/21/2014,10:30 PM,1:30 AM,FALSE,TRUE,03/20/2014,6:30 PM,9:30 PM,FREE,BUSY
03/22/2014,7:30 PM,10:30 PM,Washington at San Jose,SAP Center at San Jose - San Jose - CA,CSN-DC /  CSN-CA,03/22/2014,03/23/2014,10:30 PM,1:30 AM,FALSE,TRUE,03/22/2014,6:30 PM,9:30 PM,FREE,BUSY
03/25/2014,7:00 PM,7:00 PM,Los Angeles at Washington,Verizon Center - Washington - DC,FS-W /  CSN-DC,03/25/2014,03/25/2014,10:00 PM,10:00 PM,FALSE,TRUE,03/25/2014,6:00 PM,6:00 PM,FREE,BUSY
03/29/2014,12:30 PM,12:30 PM,Boston at Washington,Verizon Center - Washington - DC,NESN /  CSN-DC,03/29/2014,03/29/2014,3:30 PM,3:30 PM,FALSE,TRUE,03/29/2014,11:30 AM,11:30 AM,FREE,BUSY
03/30/2014,7:00 PM,8:00 PM,Washington at Nashville,Bridgestone Arena - Nashville - TN,CSN-DC /  FS-TN,03/30/2014,03/30/2014,10:00 PM,11:00 PM,FALSE,TRUE,03/30/2014,6:00 PM,7:00 PM,FREE,BUSY
04/01/2014,7:00 PM,7:00 PM,Dallas at Washington,Verizon Center - Washington - DC,TXA 21 /  CSN-DC,04/01/2014,04/01/2014,10:00 PM,10:00 PM,FALSE,TRUE,04/01/2014,6:00 PM,6:00 PM,FREE,BUSY
04/04/2014,7:00 PM,7:00 PM,Washington at New Jersey,Prudential Center - Newark - NJ,TSN2 / NBCSN /  CSN-DC+,04/04/2014,04/04/2014,10:00 PM,10:00 PM,FALSE,TRUE,04/04/2014,6:00 PM,6:00 PM,FREE,BUSY
04/05/2014,5:00 PM,5:00 PM,Washington at Ny Islanders,Nassau Coliseum - Uniondale - NY,CSN-DC /  MSG PLUS,04/05/2014,04/05/2014,8:00 PM,8:00 PM,FALSE,TRUE,04/05/2014,4:00 PM,4:00 PM,FREE,BUSY
04/08/2014,7:00 PM,8:00 PM,Washington at St Louis,Scottrade Center - St. Louis - MO,TSN / NBCSN /  CSN-DC,04/08/2014,04/08/2014,10:00 PM,11:00 PM,FALSE,TRUE,04/08/2014,6:00 PM,7:00 PM,FREE,BUSY
04/10/2014,7:00 PM,7:00 PM,Washington at Carolina,PNC Arena - Raleigh - NC,CSN-DC /  FS-CR,04/10/2014,04/10/2014,10:00 PM,10:00 PM,FALSE,TRUE,04/10/2014,6:00 PM,6:00 PM,FREE,BUSY
04/11/2014,7:00 PM,7:00 PM,Chicago at Washington,Verizon Center - Washington - DC,CSN-CH /  CSN-DC,04/11/2014,04/11/2014,10:00 PM,10:00 PM,FALSE,TRUE,04/11/2014,6:00 PM,6:00 PM,FREE,BUSY
04/13/2014,3:00 PM,3:00 PM,Tampa Bay at Washington,Verizon Center - Washington - DC,SUN /  CSN-DC,04/13/2014,04/13/2014,6:00 PM,6:00 PM,FALSE,TRUE,04/13/2014,2:00 PM,2:00 PM,FREE,BUSY
